Tanggal;Close;Return
17/03/2023;4900;
20/03/2023;4880;-0.004089985
21/03/2023;4900;0.004089985
24/03/2023;4770;-0.0268889
27/03/2023;4740;-0.006309169
28/03/2023;4770;0.006309169
29/03/2023;4810;0.008350779
30/03/2023;4750;-0.012552466
31/03/2023;4730;-0.004219416
03/04/2023;4800;0.014690715
04/04/2023;4820;0.00415801
05/04/2023;4830;0.00207254
06/04/2023;4840;0.002068253
10/04/2023;4860;0.004123717
11/04/2023;4880;0.004106782
12/04/2023;4930;0.010193768
13/04/2023;4980;0.010090903
14/04/2023;5075;0.018896634
17/04/2023;4990;-0.016890615
18/04/2023;4950;-0.008048333
26/04/2023;5025;0.015037877
27/04/2023;5150;0.024571261
28/04/2023;5100;-0.009756175
02/05/2023;5150;0.009756175
03/05/2023;5100;-0.009756175
04/05/2023;5150;0.009756175
05/05/2023;5225;0.014458083
08/05/2023;5100;-0.024214258
09/05/2023;5125;0.004889985
10/05/2023;5150;0.00486619
11/05/2023;5150;0
12/05/2023;5150;0
15/05/2023;5150;0
16/05/2023;5200;0.009661911
17/05/2023;5200;0
19/05/2023;5400;0.037740328
22/05/2023;5425;0.004618946
23/05/2023;5500;0.013730193
24/05/2023;5600;0.018018506
25/05/2023;5475;-0.022574322
26/05/2023;5600;0.022574322
29/05/2023;5550;-0.00896867
30/05/2023;5500;-0.009049836
31/05/2023;5575;0.013544225
05/06/2023;5425;-0.027274418
06/06/2023;5450;0.004597709
07/06/2023;5400;-0.009216655
08/06/2023;5475;0.013793322
09/06/2023;5425;-0.009174376
12/06/2023;5400;-0.004618946
13/06/2023;5550;0.027398974
14/06/2023;5550;0
15/06/2023;5525;-0.00451468
16/06/2023;5550;0.00451468
19/06/2023;5525;-0.00451468
20/06/2023;5550;0.00451468
21/06/2023;5575;0.00449439
22/06/2023;5475;-0.018100042
23/06/2023;5400;-0.013793322
26/06/2023;5450;0.009216655
27/06/2023;5425;-0.004597709
03/07/2023;5475;0.009174376
04/07/2023;5450;-0.004576667
05/07/2023;5450;0
06/07/2023;5425;-0.004597709
07/07/2023;5375;-0.009259325
10/07/2023;5400;0.00464038
11/07/2023;5425;0.004618946
12/07/2023;5450;0.004597709
13/07/2023;5450;0
14/07/2023;5525;0.013667639
17/07/2023;5575;0.00900907
18/07/2023;5625;0.008928631
20/07/2023;5625;0
21/07/2023;5625;0
24/07/2023;5600;-0.00445435
25/07/2023;5650;0.008888947
26/07/2023;5675;0.004415018
27/07/2023;5650;-0.004415018
28/07/2023;5700;0.00881063
31/07/2023;5650;-0.00881063
01/08/2023;5700;0.00881063
02/08/2023;5700;0
03/08/2023;5700;0
04/08/2023;5575;-0.022173857
07/08/2023;5700;0.022173857
08/08/2023;5625;-0.013245227
09/08/2023;5700;0.013245227
10/08/2023;5700;0
11/08/2023;5650;-0.00881063
14/08/2023;5650;0
15/08/2023;5575;-0.013363228
16/08/2023;5525;-0.00900907
18/08/2023;5575;0.00900907
21/08/2023;5500;-0.013544225
22/08/2023;5575;0.013544225
23/08/2023;5600;0.00447428
24/08/2023;5550;-0.00896867
25/08/2023;5600;0.00896867
28/08/2023;5550;-0.00896867
29/08/2023;5600;0.00896867
30/08/2023;5525;-0.01348335
31/08/2023;5550;0.00451468
01/09/2023;5575;0.00449439
04/09/2023;5625;0.008928631
05/09/2023;5625;0
06/09/2023;5575;-0.008928631
07/09/2023;5450;-0.022676709
08/09/2023;5350;-0.018519048
11/09/2023;5425;0.013921339
12/09/2023;5375;-0.009259325
13/09/2023;5400;0.00464038
14/09/2023;5425;0.004618946
15/09/2023;5375;-0.009259325
18/09/2023;5325;-0.009345862
19/09/2023;5375;0.009345862
